Offence,Year,Number,Rate,State,Sex
01 Homicide and related offences,2008–09,247,8.2,New South Wales,Male
02 Acts intended to cause injury(e),2008–09,23080,765.5,New South Wales,Male
03 Sexual assault and related offences,2008–09,1402,46.5,New South Wales,Male
04 Dangerous/negligent acts(f) ,2008–09,116,3.8,New South Wales,Male
05 Abduction/harassment(e),2008–09,698,23.2,New South Wales,Male
06 Robbery/extortion,2008–09,1165,38.6,New South Wales,Male
07 Unlawful entry with intent,2008–09,2842,94.3,New South Wales,Male
08 Theft(g),2008–09,12250,406.3,New South Wales,Male
Fare evasion,2008–09,np,np,New South Wales,Male
09 Fraud/deception,2008–09,1973,65.4,New South Wales,Male
10 Illicit drug offences,2008–09,10304,341.8,New South Wales,Male
11 Weapons/explosives,2008–09,1056,35,New South Wales,Male
12 Property damage and environmental pollution,2008–09,5919,196.3,New South Wales,Male
13 Public order offences,2008–09,13630,452.1,New South Wales,Male
15 Offences against justice(h),2008–09,6364,211.1,New South Wales,Male
16 Miscellaneous offences,2008–09,4388,145.5,New South Wales,Male
01 Homicide and related offences,2009–10,285,9.3,New South Wales,Male
02 Acts intended to cause injury(e),2009–10,22586,738.3,New South Wales,Male
03 Sexual assault and related offences,2009–10,1438,47,New South Wales,Male
04 Dangerous/negligent acts(f) ,2009–10,136,4.4,New South Wales,Male
05 Abduction/harassment(e),2009–10,767,25.1,New South Wales,Male
06 Robbery/extortion,2009–10,1235,40.4,New South Wales,Male
07 Unlawful entry with intent,2009–10,2801,91.6,New South Wales,Male
08 Theft(g),2009–10,13699,447.8,New South Wales,Male
Fare evasion,2009–10,np,np,New South Wales,Male
09 Fraud/deception,2009–10,1858,60.7,New South Wales,Male
10 Illicit drug offences,2009–10,11108,363.1,New South Wales,Male
11 Weapons/explosives,2009–10,1048,34.3,New South Wales,Male
12 Property damage and environmental pollution,2009–10,5638,184.3,New South Wales,Male
13 Public order offences,2009–10,13458,439.9,New South Wales,Male
15 Offences against justice(h),2009–10,5763,188.4,New South Wales,Male
16 Miscellaneous offences,2009–10,6082,198.8,New South Wales,Male
01 Homicide and related offences,2010–11,268,8.7,New South Wales,Male
02 Acts intended to cause injury(e),2010–11,22325,721.6,New South Wales,Male
03 Sexual assault and related offences,2010–11,1312,42.4,New South Wales,Male
04 Dangerous/negligent acts(f) ,2010–11,146,4.7,New South Wales,Male
05 Abduction/harassment(e),2010–11,744,24,New South Wales,Male
06 Robbery/extortion,2010–11,1215,39.3,New South Wales,Male
07 Unlawful entry with intent,2010–11,2720,87.9,New South Wales,Male
08 Theft(g),2010–11,15688,507.1,New South Wales,Male
Fare evasion,2010–11,np,np,New South Wales,Male
09 Fraud/deception,2010–11,1633,52.8,New South Wales,Male
10 Illicit drug offences,2010–11,11115,359.3,New South Wales,Male
11 Weapons/explosives,2010–11,1167,37.7,New South Wales,Male
12 Property damage and environmental pollution,2010–11,5419,175.2,New South Wales,Male
13 Public order offences,2010–11,14524,469.5,New South Wales,Male
15 Offences against justice(h),2010–11,5618,181.6,New South Wales,Male
16 Miscellaneous offences,2010–11,7526,243.3,New South Wales,Male
01 Homicide and related offences,2011–12,220,7,New South Wales,Male
