Offence,Year,Number,Rate,State,Sex
Homicide and related offences,2008,247.0,8.2,New South Wales,Male
Acts intended to cause injury,2008,23080.0,765.5,New South Wales,Male
Sexual assault and related offences,2008,1402.0,46.5,New South Wales,Male
Dangerous/negligent acts,2008,116.0,3.8,New South Wales,Male
Abduction/harassment,2008,698.0,23.2,New South Wales,Male
Robbery/extortion,2008,1165.0,38.6,New South Wales,Male
Unlawful entry with intent,2008,2842.0,94.3,New South Wales,Male
Theft,2008,12250.0,406.3,New South Wales,Male
Fraud/deception,2008,1973.0,65.4,New South Wales,Male
Illicit drug offences,2008,10304.0,341.8,New South Wales,Male
Weapons/explosives,2008,1056.0,35.0,New South Wales,Male
Property damage and environmental pollution,2008,5919.0,196.3,New South Wales,Male
Public order offences,2008,13630.0,452.1,New South Wales,Male
Offences against justice,2008,6364.0,211.1,New South Wales,Male
Miscellaneous offences,2008,4388.0,145.5,New South Wales,Male
Homicide and related offences,2009,285.0,9.3,New South Wales,Male
Acts intended to cause injury,2009,22586.0,738.3,New South Wales,Male
Sexual assault and related offences,2009,1438.0,47.0,New South Wales,Male
Dangerous/negligent acts,2009,136.0,4.4,New South Wales,Male
Abduction/harassment,2009,767.0,25.1,New South Wales,Male
Robbery/extortion,2009,1235.0,40.4,New South Wales,Male
Unlawful entry with intent,2009,2801.0,91.6,New South Wales,Male
Theft,2009,13699.0,447.8,New South Wales,Male
Fraud/deception,2009,1858.0,60.7,New South Wales,Male
Illicit drug offences,2009,11108.0,363.1,New South Wales,Male
Weapons/explosives,2009,1048.0,34.3,New South Wales,Male
Property damage and environmental pollution,2009,5638.0,184.3,New South Wales,Male
Public order offences,2009,13458.0,439.9,New South Wales,Male
Offences against justice,2009,5763.0,188.4,New South Wales,Male
Miscellaneous offences,2009,6082.0,198.8,New South Wales,Male
Homicide and related offences,2010,268.0,8.7,New South Wales,Male
Acts intended to cause injury,2010,22325.0,721.6,New South Wales,Male
Sexual assault and related offences,2010,1312.0,42.4,New South Wales,Male
Dangerous/negligent acts,2010,146.0,4.7,New South Wales,Male
Abduction/harassment,2010,744.0,24.0,New South Wales,Male
Robbery/extortion,2010,1215.0,39.3,New South Wales,Male
Unlawful entry with intent,2010,2720.0,87.9,New South Wales,Male
Theft,2010,15688.0,507.1,New South Wales,Male
Fraud/deception,2010,1633.0,52.8,New South Wales,Male
Illicit drug offences,2010,11115.0,359.3,New South Wales,Male
Weapons/explosives,2010,1167.0,37.7,New South Wales,Male
Property damage and environmental pollution,2010,5419.0,175.2,New South Wales,Male
Public order offences,2010,14524.0,469.5,New South Wales,Male
Offences against justice,2010,5618.0,181.6,New South Wales,Male
Miscellaneous offences,2010,7526.0,243.3,New South Wales,Male
Homicide and related offences,2011,220.0,7.0,New South Wales,Male
Acts intended to cause injury,2011,20859.0,667.1,New South Wales,Male
Sexual assault and related offences,2011,1394.0,44.6,New South Wales,Male
Dangerous/negligent acts,2011,77.0,2.5,New South Wales,Male
Abduction/harassment,2011,735.0,23.5,New South Wales,Male
Robbery/extortion,2011,964.0,30.8,New South Wales,Male
Unlawful entry with intent,2011,2401.0,76.8,New South Wales,Male
Theft,2011,15609.0,499.2,New South Wales,Male
Fraud/deception,2011,1702.0,54.4,New South Wales,Male
Illicit drug offences,2011,11223.0,358.9,New South Wales,Male
Weapons/explosives,2011,992.0,31.7,New South Wales,Male
Property damage and environmental pollution,2011,4597.0,147.0,New South Wales,Male
Public order offences,2011,12075.0,386.2,New South Wales,Male
Offences against justice,2011,4744.0,151.7,New South Wales,Male
Miscellaneous offences,2011,7985.0,255.4,New South Wales,Male
Homicide and related offences,2012,223.0,7.0,New South Wales,Male
Acts intended to cause injury,2012,21443.0,677.8,New South Wales,Male
Sexual assault and related offences,2012,1458.0,46.1,New South Wales,Male
Dangerous/negligent acts,2012,88.0,2.8,New South Wales,Male
