State,Year,Sex,Unemployment_Rate
New South Wales,2008,Male,6.4009033
New South Wales,2009,Male,5.282651
New South Wales,2010,Male,4.8936778
New South Wales,2011,Male,5.1013034
New South Wales,2012,Male,5.0995515
New South Wales,2013,Male,5.6723852
New South Wales,2014,Male,5.2055734
New South Wales,2015,Male,4.607739
New South Wales,2016,Male,4.8237292
New South Wales,2017,Male,4.7487829
New South Wales,2018,Male,4.3002531
New South Wales,2019,Male,6.6081782
New South Wales,2020,Male,5.6319988
New South Wales,2021,Male,3.4315691
New South Wales,2022,Male,3.1321205
New South Wales,2023,Male,3.9417068
New South Wales,2024,Male,4.2933567
New South Wales,2008,Female,6.2821986
New South Wales,2009,Female,4.9479756
New South Wales,2010,Female,5.4875214
New South Wales,2011,Female,5.0786901
New South Wales,2012,Female,5.5397188
New South Wales,2013,Female,5.537256
New South Wales,2014,Female,6.1095654
New South Wales,2015,Female,5.5166291
New South Wales,2016,Female,4.5691823
New South Wales,2017,Female,4.3703038
New South Wales,2018,Female,4.8526539
New South Wales,2019,Female,6.6588835
New South Wales,2020,Female,4.415042
New South Wales,2021,Female,3.2400478
New South Wales,2022,Female,2.645618
New South Wales,2023,Female,3.7382156
New South Wales,2024,Female,4.3732082
Victoria,2008,Male,6.5242564
Victoria,2009,Male,5.1119415
Victoria,2010,Male,4.1424541
Victoria,2011,Male,4.7641126
Victoria,2012,Male,5.8520645
Victoria,2013,Male,6.2719842
Victoria,2014,Male,5.2152781
Victoria,2015,Male,4.8543137
Victoria,2016,Male,5.3324878
Victoria,2017,Male,5.3698531
Victoria,2018,Male,4.3892952
Victoria,2019,Male,6.7455005
Victoria,2020,Male,3.8808979
Victoria,2021,Male,2.8754065
Victoria,2022,Male,3.6908808
Victoria,2023,Male,4.0052064
Victoria,2024,Male,4.7765644
Victoria,2008,Female,5.1370761
Victoria,2009,Female,5.4850779
Victoria,2010,Female,4.8397164
Victoria,2011,Female,5.8891344
Victoria,2012,Female,5.3749329
Victoria,2013,Female,6.270678
Victoria,2014,Female,6.3320703
Victoria,2015,Female,6.029572
Victoria,2016,Female,5.9885256
Victoria,2017,Female,5.2079463
Victoria,2018,Female,4.8066019
Victoria,2019,Female,7.4855268
Victoria,2020,Female,4.7995895
Victoria,2021,Female,3.4193082
Victoria,2022,Female,3.3013059
Victoria,2023,Female,4.5641259
Victoria,2024,Female,3.7991575
Queensland,2008,Male,5.8987392
Queensland,2009,Male,4.9186994
Queensland,2010,Male,4.6197962
Queensland,2011,Male,4.7180064
Queensland,2012,Male,6.4299058
Queensland,2013,Male,5.9535296
Queensland,2014,Male,6.5802271
Queensland,2015,Male,6.3897096
Queensland,2016,Male,6.2666631
Queensland,2017,Male,5.7577912
Queensland,2018,Male,6.2736356
Queensland,2019,Male,8.2899436
Queensland,2020,Male,5.4012341
Queensland,2021,Male,4.1258223
Queensland,2022,Male,3.3674758
Queensland,2023,Male,4.1156941
Queensland,2024,Male,4.2622768
Queensland,2008,Female,4.8509117
Queensland,2009,Female,5.3681729
Queensland,2010,Female,5.551238
Queensland,2011,Female,5.3957413
Queensland,2012,Female,5.8014747
Queensland,2013,Female,6.3975245
Queensland,2014,Female,5.0511314
Queensland,2015,Female,6.1138955
Queensland,2016,Female,6.2592089
Queensland,2017,Female,5.9008691
Queensland,2018,Female,6.3234903
Queensland,2019,Female,7.2827985
Queensland,2020,Female,4.8906467
Queensland,2021,Female,3.7123289
Queensland,2022,Female,4.0082068
Queensland,2023,Female,3.4664289
Queensland,2024,Female,3.6780471
South Australia,2008,Male,5.6533412
South Australia,2009,Male,4.9679666
South Australia,2010,Male,4.9551629
South Australia,2011,Male,6.0412512
South Australia,2012,Male,5.6269063
South Australia,2013,Male,7.5022301
South Australia,2014,Male,9.0999289
South Australia,2015,Male,7.1270334
South Australia,2016,Male,5.6654311
South Australia,2017,Male,5.9360555
South Australia,2018,Male,6.3426897
South Australia,2019,Male,8.2377819
South Australia,2020,Male,5.7049058
South Australia,2021,Male,5.1200234
South Australia,2022,Male,4.3843789
South Australia,2023,Male,3.8365757
South Australia,2024,Male,4.8099339
South Australia,2008,Female,4.575907
South Australia,2009,Female,5.1974884
South Australia,2010,Female,4.3825065
South Australia,2011,Female,5.8008935
South Australia,2012,Female,5.4910017
South Australia,2013,Female,5.9322156
South Australia,2014,Female,6.569888
South Australia,2015,Female,6.8413706
South Australia,2016,Female,7.1549557
South Australia,2017,Female,4.6583728
South Australia,2018,Female,5.2745578
South Australia,2019,Female,8.5254209
South Australia,2020,Female,4.6390212
South Australia,2021,Female,3.336433
South Australia,2022,Female,3.7147481
South Australia,2023,Female,3.6942154
South Australia,2024,Female,3.7894286
Western Australia,2008,Male,5.3575634
Western Australia,2009,Male,3.7026925
Western Australia,2010,Male,4.4311745
Western Australia,2011,Male,2.5215911
Western Australia,2012,Male,4.5448626
Western Australia,2013,Male,4.9065049
Western Australia,2014,Male,6.0136624
Western Australia,2015,Male,5.2135328
Western Australia,2016,Male,5.2884753
Western Australia,2017,Male,6.1744469
Western Australia,2018,Male,5.5303674
Western Australia,2019,Male,7.8046047
Western Australia,2020,Male,5.288236
Western Australia,2021,Male,3.4662848
Western Australia,2022,Male,3.7349813
Western Australia,2023,Male,3.529873
Western Australia,2024,Male,4.2137015
Western Australia,2008,Female,5.4952786
Western Australia,2009,Female,4.5601262
Western Australia,2010,Female,3.9919524
Western Australia,2011,Female,4.6750343
Western Australia,2012,Female,4.5940625
Western Australia,2013,Female,4.9255461
Western Australia,2014,Female,5.4438392
Western Australia,2015,Female,5.9843253
Western Australia,2016,Female,5.534101
Western Australia,2017,Female,5.0567327
Western Australia,2018,Female,4.9762583
Western Australia,2019,Female,8.1032506
