Offence,Year,Number,Rate,State
01 Homicide and related offences,2008–09,29,4,New South Wales
02 Acts intended to cause injury(d),2008–09,3865,536.3,New South Wales
03 Sexual assault and related offences,2008–09,150,20.8,New South Wales
04 Dangerous/negligent acts(e),2008–09,52,7.2,New South Wales
05 Abduction/harassment(d),2008–09,131,18.2,New South Wales
06 Robbery/extortion,2008–09,588,81.6,New South Wales
07 Unlawful entry with intent,2008–09,1335,185.2,New South Wales
08 Theft(f),2008–09,5801,804.9,New South Wales
Fare evasion,2008–09,np,np,New South Wales
09 Fraud/deception,2008–09,280,38.9,New South Wales
10 Illicit drug offences,2008–09,710,98.5,New South Wales
11 Weapons/explosives,2008–09,148,20.5,New South Wales
12 Property damage and environmental pollution,2008–09,1954,271.1,New South Wales
13 Public order offences,2008–09,2904,402.9,New South Wales
15 Offences against justice(g),2008–09,532,73.8,New South Wales
16 Miscellaneous offences,2008–09,672,93.2,New South Wales
01 Homicide and related offences,2009–10,24,3.3,New South Wales
02 Acts intended to cause injury(d),2009–10,4049,562.5,New South Wales
03 Sexual assault and related offences,2009–10,139,19.3,New South Wales
04 Dangerous/negligent acts(e),2009–10,62,8.6,New South Wales
05 Abduction/harassment(d),2009–10,168,23.3,New South Wales
06 Robbery/extortion,2009–10,639,88.8,New South Wales
07 Unlawful entry with intent,2009–10,1360,188.9,New South Wales
08 Theft(f),2009–10,7048,979.1,New South Wales
Fare evasion,2009–10,np,np,New South Wales
09 Fraud/deception,2009–10,238,33.1,New South Wales
10 Illicit drug offences,2009–10,782,108.6,New South Wales
11 Weapons/explosives,2009–10,167,23.2,New South Wales
12 Property damage and environmental pollution,2009–10,1923,267.1,New South Wales
13 Public order offences,2009–10,3164,439.5,New South Wales
15 Offences against justice(g),2009–10,417,57.9,New South Wales
16 Miscellaneous offences,2009–10,1120,155.6,New South Wales
01 Homicide and related offences,2010–11,31,4.3,New South Wales
02 Acts intended to cause injury(d),2010–11,4114,571.5,New South Wales
03 Sexual assault and related offences,2010–11,112,15.6,New South Wales
04 Dangerous/negligent acts(e),2010–11,43,6,New South Wales
05 Abduction/harassment(d),2010–11,137,19,New South Wales
06 Robbery/extortion,2010–11,616,85.6,New South Wales
07 Unlawful entry with intent,2010–11,1268,176.1,New South Wales
08 Theft(f),2010–11,8077,1122,New South Wales
Fare evasion,2010–11,np,np,New South Wales
09 Fraud/deception,2010–11,187,26,New South Wales
10 Illicit drug offences,2010–11,886,123.1,New South Wales
11 Weapons/explosives,2010–11,152,21.1,New South Wales
12 Property damage and environmental pollution,2010–11,1666,231.4,New South Wales
13 Public order offences,2010–11,2830,393.1,New South Wales
15 Offences against justice(g),2010–11,431,59.9,New South Wales
16 Miscellaneous offences,2010–11,1506,209.2,New South Wales
01 Homicide and related offences,2011–12,17,2.4,New South Wales
02 Acts intended to cause injury(d),2011–12,3611,502.1,New South Wales
03 Sexual assault and related offences,2011–12,155,21.6,New South Wales
04 Dangerous/negligent acts(e),2011–12,18,2.5,New South Wales
05 Abduction/harassment(d),2011–12,129,17.9,New South Wales
06 Robbery/extortion,2011–12,446,62,New South Wales
07 Unlawful entry with intent,2011–12,1048,145.7,New South Wales
08 Theft(f),2011–12,8678,1206.5,New South Wales
Fare evasion,2011–12,np,np,New South Wales
09 Fraud/deception,2011–12,164,22.8,New South Wales
10 Illicit drug offences,2011–12,847,117.8,New South Wales
11 Weapons/explosives,2011–12,104,14.5,New South Wales
12 Property damage and environmental pollution,2011–12,1336,185.7,New South Wales
13 Public order offences,2011–12,2182,303.4,New South Wales
15 Offences against justice(g),2011–12,294,40.9,New South Wales
16 Miscellaneous offences,2011–12,1547,215.1,New South Wales
01 Homicide and related offences,2012–13,10,1.4,New South Wales
02 Acts intended to cause injury(d),2012–13,3248,452.5,New South Wales
03 Sexual assault and related offences,2012–13,173,24.1,New South Wales
04 Dangerous/negligent acts(e),2012–13,32,4.5,New South Wales
05 Abduction/harassment(d),2012–13,117,16.3,New South Wales
06 Robbery/extortion,2012–13,378,52.7,New South Wales
07 Unlawful entry with intent,2012–13,887,123.6,New South Wales
08 Theft(f),2012–13,6800,947.4,New South Wales
Fare evasion,2012–13,np,np,New South Wales
09 Fraud/deception,2012–13,266,37.1,New South Wales
10 Illicit drug offences,2012–13,889,123.9,New South Wales
11 Weapons/explosives,2012–13,123,17.1,New South Wales
12 Property damage and environmental pollution,2012–13,1242,173,New South Wales
13 Public order offences,2012–13,1972,274.7,New South Wales
15 Offences against justice(g),2012–13,355,49.5,New South Wales
16 Miscellaneous offences,2012–13,2690,374.8,New South Wales
01 Homicide and related offences,2013–14,10,1.4,New South Wales
02 Acts intended to cause injury(d),2013–14,3153,439.5,New South Wales
03 Sexual assault and related offences,2013–14,225,31.4,New South Wales
04 Dangerous/negligent acts(e),2013–14,94,13.1,New South Wales
05 Abduction/harassment(d),2013–14,109,15.2,New South Wales
06 Robbery/extortion,2013–14,340,47.4,New South Wales
07 Unlawful entry with intent,2013–14,745,103.8,New South Wales
08 Theft(f),2013–14,2586,360.5,New South Wales
Fare evasion,2013–14,6050,843.3,New South Wales
09 Fraud/deception,2013–14,446,62.2,New South Wales
