Offence,Year,Number,Rate,State
Homicide and related offences,2008,29,4.0,New South Wales
Acts intended to cause injury,2008,3865,536.3,New South Wales
Sexual assault and related offences,2008,150,20.8,New South Wales
Dangerous/negligent acts,2008,52,7.2,New South Wales
Abduction/harassment,2008,131,18.2,New South Wales
Robbery/extortion,2008,588,81.6,New South Wales
Unlawful entry with intent,2008,1335,185.2,New South Wales
Theft,2008,5801,804.9,New South Wales
Fraud/deception,2008,280,38.9,New South Wales
Illicit drug offences,2008,710,98.5,New South Wales
Weapons/explosives,2008,148,20.5,New South Wales
Property damage and environmental pollution,2008,1954,271.1,New South Wales
Public order offences,2008,2904,402.9,New South Wales
Offences against justice,2008,532,73.8,New South Wales
Miscellaneous offences,2008,672,93.2,New South Wales
Homicide and related offences,2009,24,3.3,New South Wales
Acts intended to cause injury,2009,4049,562.5,New South Wales
Sexual assault and related offences,2009,139,19.3,New South Wales
Dangerous/negligent acts,2009,62,8.6,New South Wales
Abduction/harassment,2009,168,23.3,New South Wales
Robbery/extortion,2009,639,88.8,New South Wales
Unlawful entry with intent,2009,1360,188.9,New South Wales
Theft,2009,7048,979.1,New South Wales
Fraud/deception,2009,238,33.1,New South Wales
Illicit drug offences,2009,782,108.6,New South Wales
Weapons/explosives,2009,167,23.2,New South Wales
Property damage and environmental pollution,2009,1923,267.1,New South Wales
Public order offences,2009,3164,439.5,New South Wales
Offences against justice,2009,417,57.9,New South Wales
Miscellaneous offences,2009,1120,155.6,New South Wales
Homicide and related offences,2010,31,4.3,New South Wales
Acts intended to cause injury,2010,4114,571.5,New South Wales
Sexual assault and related offences,2010,112,15.6,New South Wales
Dangerous/negligent acts,2010,43,6.0,New South Wales
Abduction/harassment,2010,137,19.0,New South Wales
Robbery/extortion,2010,616,85.6,New South Wales
Unlawful entry with intent,2010,1268,176.1,New South Wales
Theft,2010,8077,1122.0,New South Wales
Fraud/deception,2010,187,26.0,New South Wales
Illicit drug offences,2010,886,123.1,New South Wales
Weapons/explosives,2010,152,21.1,New South Wales
Property damage and environmental pollution,2010,1666,231.4,New South Wales
Public order offences,2010,2830,393.1,New South Wales
Offences against justice,2010,431,59.9,New South Wales
Miscellaneous offences,2010,1506,209.2,New South Wales
Homicide and related offences,2011,17,2.4,New South Wales
Acts intended to cause injury,2011,3611,502.1,New South Wales
Sexual assault and related offences,2011,155,21.6,New South Wales
Dangerous/negligent acts,2011,18,2.5,New South Wales
Abduction/harassment,2011,129,17.9,New South Wales
Robbery/extortion,2011,446,62.0,New South Wales
Unlawful entry with intent,2011,1048,145.7,New South Wales
Theft,2011,8678,1206.5,New South Wales
Fraud/deception,2011,164,22.8,New South Wales
Illicit drug offences,2011,847,117.8,New South Wales
Weapons/explosives,2011,104,14.5,New South Wales
Property damage and environmental pollution,2011,1336,185.7,New South Wales
Public order offences,2011,2182,303.4,New South Wales
Offences against justice,2011,294,40.9,New South Wales
Miscellaneous offences,2011,1547,215.1,New South Wales
Homicide and related offences,2012,10,1.4,New South Wales
Acts intended to cause injury,2012,3248,452.5,New South Wales
Sexual assault and related offences,2012,173,24.1,New South Wales
Dangerous/negligent acts,2012,32,4.5,New South Wales
Abduction/harassment,2012,117,16.3,New South Wales
Robbery/extortion,2012,378,52.7,New South Wales
Unlawful entry with intent,2012,887,123.6,New South Wales
Theft,2012,6800,947.4,New South Wales
Fraud/deception,2012,266,37.1,New South Wales
Illicit drug offences,2012,889,123.9,New South Wales
Weapons/explosives,2012,123,17.1,New South Wales
Property damage and environmental pollution,2012,1242,173.0,New South Wales
Public order offences,2012,1972,274.7,New South Wales
Offences against justice,2012,355,49.5,New South Wales
Miscellaneous offences,2012,2690,374.8,New South Wales
Homicide and related offences,2013,10,1.4,New South Wales
Acts intended to cause injury,2013,3153,439.5,New South Wales
Sexual assault and related offences,2013,225,31.4,New South Wales
Dangerous/negligent acts,2013,94,13.1,New South Wales
Abduction/harassment,2013,109,15.2,New South Wales
Robbery/extortion,2013,340,47.4,New South Wales
Unlawful entry with intent,2013,745,103.8,New South Wales
Theft,2013,2586,360.5,New South Wales
Fare evasion,2013,6050,843.3,New South Wales
Fraud/deception,2013,446,62.2,New South Wales
Illicit drug offences,2013,972,135.5,New South Wales
Weapons/explosives,2013,106,14.8,New South Wales
Property damage and environmental pollution,2013,986,137.4,New South Wales
Public order offences,2013,1956,272.6,New South Wales
Offences against justice,2013,497,69.3,New South Wales
Miscellaneous offences,2013,181,25.2,New South Wales
Homicide and related offences,2014,11,1.5,New South Wales
Acts intended to cause injury,2014,2991,415.4,New South Wales
Sexual assault and related offences,2014,238,33.1,New South Wales
Dangerous/negligent acts,2014,102,14.2,New South Wales
Abduction/harassment,2014,138,19.2,New South Wales
Robbery/extortion,2014,333,46.2,New South Wales
Unlawful entry with intent,2014,685,95.1,New South Wales
Theft,2014,2150,298.6,New South Wales
Fare evasion,2014,8163,1133.7,New South Wales
Fraud/deception,2014,554,76.9,New South Wales
Illicit drug offences,2014,993,137.9,New South Wales
Weapons/explosives,2014,93,12.9,New South Wales
Property damage and environmental pollution,2014,887,123.2,New South Wales
Public order offences,2014,1935,268.7,New South Wales
Offences against justice,2014,353,49.0,New South Wales
Miscellaneous offences,2014,150,20.8,New South Wales
Homicide and related offences,2015,5,0.7,New South Wales
Acts intended to cause injury,2015,2951,407.1,New South Wales
Sexual assault and related offences,2015,285,39.3,New South Wales
Dangerous/negligent acts,2015,131,18.1,New South Wales
Abduction/harassment,2015,143,19.7,New South Wales
Robbery/extortion,2015,260,35.9,New South Wales
Unlawful entry with intent,2015,704,97.1,New South Wales
Theft,2015,2237,308.6,New South Wales
Fare evasion,2015,8045,1109.9,New South Wales
Fraud/deception,2015,481,66.4,New South Wales
Illicit drug offences,2015,1005,138.6,New South Wales
Weapons/explosives,2015,127,17.5,New South Wales
Property damage and environmental pollution,2015,867,119.6,New South Wales
Public order offences,2015,2278,314.3,New South Wales
Offences against justice,2015,378,52.1,New South Wales
Miscellaneous offences,2015,160,22.1,New South Wales
Homicide and related offences,2016,12,1.6,New South Wales
Acts intended to cause injury,2016,2927,398.6,New South Wales
Sexual assault and related offences,2016,280,38.1,New South Wales
Dangerous/negligent acts,2016,147,20.0,New South Wales
Abduction/harassment,2016,150,20.4,New South Wales
Robbery/extortion,2016,236,32.1,New South Wales
Unlawful entry with intent,2016,592,80.6,New South Wales
Theft,2016,2249,306.3,New South Wales
Fare evasion,2016,8585,1169.1,New South Wales
Fraud/deception,2016,373,50.8,New South Wales
Illicit drug offences,2016,1045,142.3,New South Wales
Weapons/explosives,2016,103,14.0,New South Wales
Property damage and environmental pollution,2016,786,107.0,New South Wales
Public order offences,2016,2156,293.6,New South Wales
Offences against justice,2016,232,31.6,New South Wales
Miscellaneous offences,2016,178,24.2,New South Wales
Homicide and related offences,2017,4,0.5,New South Wales
Acts intended to cause injury,2017,3205,429.9,New South Wales
Sexual assault and related offences,2017,279,37.4,New South Wales
Dangerous/negligent acts,2017,40,5.4,New South Wales
Abduction/harassment,2017,101,13.5,New South Wales
Robbery/extortion,2017,302,40.5,New South Wales
Unlawful entry with intent,2017,661,88.7,New South Wales
Theft,2017,2291,307.3,New South Wales
Fare evasion,2017,8284,1111.2,New South Wales
Fraud/deception,2017,426,57.1,New South Wales
Illicit drug offences,2017,1049,140.7,New South Wales
Weapons/explosives,2017,159,21.3,New South Wales
Property damage and environmental pollution,2017,758,101.7,New South Wales
Public order offences,2017,1988,266.7,New South Wales
Offences against justice,2017,215,28.8,New South Wales
Miscellaneous offences,2017,212,28.4,New South Wales
Homicide and related offences,2018,14,1.8,New South Wales
Acts intended to cause injury,2018,3287,434.2,New South Wales
Sexual assault and related offences,2018,275,36.3,New South Wales
Dangerous/negligent acts,2018,11,1.5,New South Wales
Abduction/harassment,2018,113,14.9,New South Wales
Robbery/extortion,2018,319,42.1,New South Wales
Unlawful entry with intent,2018,482,63.7,New South Wales
Theft,2018,1952,257.8,New South Wales
Fare evasion,2018,7032,928.8,New South Wales
Fraud/deception,2018,457,60.4,New South Wales
Illicit drug offences,2018,1021,134.9,New South Wales
Weapons/explosives,2018,133,17.6,New South Wales
Property damage and environmental pollution,2018,715,94.4,New South Wales
Public order offences,2018,1746,230.6,New South Wales
Offences against justice,2018,216,28.5,New South Wales
Miscellaneous offences,2018,205,27.1,New South Wales
Homicide and related offences,2019,16,2.1,New South Wales
Acts intended to cause injury,2019,3321,431.0,New South Wales
Sexual assault and related offences,2019,261,33.9,New South Wales
Dangerous/negligent acts,2019,3,0.4,New South Wales
Abduction/harassment,2019,139,18.0,New South Wales
Robbery/extortion,2019,367,47.6,New South Wales
Unlawful entry with intent,2019,529,68.7,New South Wales
Theft,2019,1833,237.9,New South Wales
Fare evasion,2019,6546,849.6,New South Wales
Fraud/deception,2019,417,54.1,New South Wales
Illicit drug offences,2019,1104,143.3,New South Wales
Weapons/explosives,2019,183,23.8,New South Wales
Property damage and environmental pollution,2019,718,93.2,New South Wales
Public order offences,2019,1809,234.8,New South Wales
Offences against justice,2019,204,26.5,New South Wales
Miscellaneous offences,2019,252,32.7,New South Wales
Homicide and related offences,2020,12,1.5,New South Wales
Acts intended to cause injury,2020,3604,460.5,New South Wales
Sexual assault and related offences,2020,293,37.4,New South Wales
Dangerous/negligent acts,2020,13,1.7,New South Wales
Abduction/harassment,2020,125,16.0,New South Wales
Robbery/extortion,2020,345,44.1,New South Wales
Unlawful entry with intent,2020,449,57.4,New South Wales
Theft,2020,1454,185.8,New South Wales
Fare evasion,2020,7242,925.3,New South Wales
Fraud/deception,2020,335,42.8,New South Wales
Illicit drug offences,2020,860,109.9,New South Wales
Weapons/explosives,2020,186,23.8,New South Wales
Property damage and environmental pollution,2020,746,95.3,New South Wales
Public order offences,2020,1851,236.5,New South Wales
Offences against justice,2020,169,21.6,New South Wales
Miscellaneous offences,2020,450,57.5,New South Wales
Homicide and related offences,2021,22,2.8,New South Wales
Acts intended to cause injury,2021,3638,458.0,New South Wales
Sexual assault and related offences,2021,262,33.0,New South Wales
Dangerous/negligent acts,2021,19,2.4,New South Wales
Abduction/harassment,2021,142,17.9,New South Wales
