Age Group,Year,Number,Rate,Sex
10–11 years,2008,1844,658.6,Male
12–13 years,2008,6140,2149.6,Male
14–17 years,2008,42852,7325.2,Male
10–11 years,2009,2004,713.1,Male
12–13 years,2009,6587,2314.5,Male
14–17 years,2009,44328,7560.5,Male
10–11 years,2010,1834,650.4,Male
12–13 years,2010,6180,2172.7,Male
14–17 years,2010,43090,7346.1,Male
10–11 years,2011,1648,582.6,Male
12–13 years,2011,5412,1897.8,Male
14–17 years,2011,38709,6593.7,Male
10–11 years,2012,1548,547.1,Male
12–13 years,2012,4919,1716.3,Male
14–17 years,2012,35966,6134.0,Male
10–11 years,2013,1413,495.5,Male
12–13 years,2013,4497,1565.4,Male
14–17 years,2013,33420,5712.1,Male
10–11 years,2014,1302,448.7,Male
12–13 years,2014,4605,1607.8,Male
14–17 years,2014,33218,5667.4,Male
10–11 years,2015,1464,492.7,Male
12–13 years,2015,4788,1663.1,Male
14–17 years,2015,32662,5557.6,Male
10–11 years,2016,1515,490.6,Male
12–13 years,2016,4720,1608.7,Male
14–17 years,2016,31956,5422.7,Male
10–11 years,2017,1463,456.0,Male
12–13 years,2017,4982,1650.2,Male
14–17 years,2017,30959,5234.1,Male
10–11 years,2018,1202,366.3,Male
12–13 years,2018,4447,1416.6,Male
14–17 years,2018,28413,4770.3,Male
10–11 years,2019,1085,326.2,Male
12–13 years,2019,4301,1317.6,Male
14–17 years,2019,27681,4578.1,Male
10–11 years,2020,984,294.0,Male
12–13 years,2020,4518,1357.7,Male
14–17 years,2020,25523,4122.8,Male
10–11 years,2021,972,289.9,Male
12–13 years,2021,4526,1348.5,Male
14–17 years,2021,26058,4084.6,Male
10–11 years,2022,1002,295.9,Male
12–13 years,2022,4905,1447.3,Male
14–17 years,2022,26717,4049.6,Male
10–11 years,2023,961,280.3,Male
12–13 years,2023,4554,1331.7,Male
14–17 years,2023,26612,3917.3,Male
10–11 years,2024,825,239.9,Male
12–13 years,2024,4116,1189.3,Male
14–17 years,2024,25902,3748.1,Male
10–11 years,2008,420,158.0,Female
12–13 years,2008,2900,1071.9,Female
14–17 years,2008,17171,3098.3,Female
10–11 years,2009,485,181.4,Female
12–13 years,2009,3127,1158.4,Female
14–17 years,2009,18221,3283.1,Female
10–11 years,2010,473,176.0,Female
12–13 years,2010,2938,1088.4,Female
14–17 years,2010,17409,3139.2,Female
10–11 years,2011,387,143.8,Female
12–13 years,2011,2527,931.4,Female
14–17 years,2011,15346,2761.9,Female
10–11 years,2012,372,138.2,Female
12–13 years,2012,2205,807.9,Female
14–17 years,2012,13595,2444.4,Female
10–11 years,2013,364,134.4,Female
12–13 years,2013,2021,740.4,Female
14–17 years,2013,12611,2265.5,Female
10–11 years,2014,315,114.9,Female
12–13 years,2014,2110,775.4,Female
14–17 years,2014,12787,2292.0,Female
10–11 years,2015,342,121.9,Female
12–13 years,2015,2293,839.6,Female
14–17 years,2015,13152,2353.6,Female
10–11 years,2016,398,136.4,Female
12–13 years,2016,2251,813.6,Female
14–17 years,2016,13139,2345.6,Female
10–11 years,2017,384,126.7,Female
12–13 years,2017,2287,805.5,Female
14–17 years,2017,12935,2307.4,Female
10–11 years,2018,363,117.0,Female
12–13 years,2018,2319,784.1,Female
14–17 years,2018,12344,2194.0,Female
10–11 years,2019,305,97.0,Female
12–13 years,2019,2207,717.7,Female
14–17 years,2019,11273,1977.8,Female
10–11 years,2020,312,98.4,Female
12–13 years,2020,2372,756.3,Female
14–17 years,2020,10708,1840.6,Female
10–11 years,2021,333,104.8,Female
12–13 years,2021,2451,773.4,Female
14–17 years,2021,10771,1798.3,Female
10–11 years,2022,374,116.7,Female
12–13 years,2022,3060,953.8,Female
14–17 years,2022,11811,1903.4,Female
10–11 years,2023,333,102.9,Female
12–13 years,2023,2728,841.8,Female
